REGION_CLASS	REGION_MEMBER	USED_MEMBER	USED_CLASS	SOURCE_TYPE
org.slot10.group75.mediaPlayer.MediaObject	handleMessage()	handleMessage()	org.slot10.group75.mediaPlayer.thread.MessagedThread	SOURCE
org.slot10.group75.mediaPlayer.MediaObject	handleMessage()	getMessage()	org.slot10.group75.mediaPlayer.thread.MessagedThreadMessage	SOURCE
org.slot10.group75.mediaPlayer.MediaObject	handleMessage()	startPlaying()	org.slot10.group75.mediaPlayer.MediaObject	SOURCE
org.slot10.group75.mediaPlayer.MediaObject	handleMessage()	pausePlaying()	org.slot10.group75.mediaPlayer.MediaObject	SOURCE
org.slot10.group75.mediaPlayer.MediaObject	handleMessage()	restartPlaying()	org.slot10.group75.mediaPlayer.MediaObject	SOURCE
org.slot10.group75.mediaPlayer.MediaObject	handleMessage()	stopPlaying()	org.slot10.group75.mediaPlayer.MediaObject	SOURCE
org.slot10.group75.mediaPlayer.MediaObject	handleMessage()	preload()	org.slot10.group75.mediaPlayer.MediaObject	SOURCE
org.slot10.group75.mediaPlayer.MediaObject	handleMessage()	UnsupportedMessagedThreadMessageException()	org.slot10.group75.mediaPlayer.thread.UnsupportedMessagedThreadMessageException	SOURCE
org.slot10.group75.mediaPlayer.MediaObject	stopPlaying()	lock()	java.util.concurrent.locks.Lock	SOURCE
org.slot10.group75.mediaPlayer.MediaObject	stopPlaying()	sendMessage(org.slot10.group75.mediaPlayer.thread.MessagedThreadMessage)	org.slot10.group75.mediaPlayer.thread.MessagedBlockingThread	SOURCE
org.slot10.group75.mediaPlayer.MediaObject	stopPlaying()	getInstance()	org.slot10.group75.mediaPlayer.MediaObjectPlayer	SOURCE
org.slot10.group75.mediaPlayer.MediaObject	stopPlaying()	unlock()	java.util.concurrent.locks.Lock	SOURCE
org.slot10.group75.mediaPlayer.MediaObject	softStopPlaying()	lock()	java.util.concurrent.locks.Lock	SOURCE
org.slot10.group75.mediaPlayer.MediaObject	softStopPlaying()	sendMessage(org.slot10.group75.mediaPlayer.thread.MessagedThreadMessage)	org.slot10.group75.mediaPlayer.thread.MessagedBlockingThread	SOURCE
org.slot10.group75.mediaPlayer.MediaObject	softStopPlaying()	getInstance()	org.slot10.group75.mediaPlayer.MediaObjectPlayer	SOURCE
org.slot10.group75.mediaPlayer.MediaObject	softStopPlaying()	unlock()	java.util.concurrent.locks.Lock	SOURCE
org.slot10.group75.mediaPlayer.MediaObject	stopPlayingImmediately()	lock()	java.util.concurrent.locks.Lock	SOURCE
org.slot10.group75.mediaPlayer.MediaObject	stopPlayingImmediately()	unlock()	java.util.concurrent.locks.Lock	SOURCE
org.slot10.group75.mediaPlayer.MediaObject	getPath()	getPath()	java.io.File	SOURCE
org.slot10.group75.mediaPlayer.MediaObject	getDuration()	getDuration(boolean)	org.slot10.group75.mediaPlayer.MediaObject	SOURCE
org.slot10.group75.mediaPlayer.MediaObject	getDurationString()	getDurationString(boolean)	org.slot10.group75.mediaPlayer.MediaObject	SOURCE
org.slot10.group75.mediaPlayer.MediaObject	getDurationString(boolean)	getDuration(boolean)	org.slot10.group75.mediaPlayer.MediaObject	SOURCE
org.slot10.group75.mediaPlayer.MediaObject	getDurationString(boolean)	StringBuffer()	java.lang.StringBuffer	SOURCE
org.slot10.group75.mediaPlayer.MediaObject	getDurationString(boolean)	floor(double)	java.lang.Math	SOURCE
org.slot10.group75.mediaPlayer.MediaObject	getDurationString(boolean)	append(int)	java.lang.StringBuffer	SOURCE
org.slot10.group75.mediaPlayer.MediaObject	getDurationString(boolean)	append(java.lang.String)	java.lang.StringBuffer	SOURCE
org.slot10.group75.mediaPlayer.MediaObject	getDurationString(boolean)	append(java.lang.String)	java.lang.StringBuffer	SOURCE
org.slot10.group75.mediaPlayer.MediaObject	getDurationString(boolean)	toString()	java.lang.StringBuffer	SOURCE
org.slot10.group75.mediaPlayer.MediaObject	getProperty(java.lang.String)	getProperty(java.lang.String,boolean)	org.slot10.group75.mediaPlayer.MediaObject	SOURCE
org.slot10.group75.mediaPlayer.MediaObject	getProperty(java.lang.String,boolean)	containsKey(java.lang.Object)	java.util.HashMap	SOURCE
org.slot10.group75.mediaPlayer.MediaObject	getProperty(java.lang.String,boolean)	get(java.lang.Object)	java.util.HashMap	SOURCE
org.slot10.group75.mediaPlayer.MediaObject	getProperty(java.lang.String,boolean)	updateProperties()	org.slot10.group75.mediaPlayer.MediaObject	SOURCE
org.slot10.group75.mediaPlayer.MediaObject	getProperty(java.lang.String,boolean)	containsKey(java.lang.Object)	java.util.Map	SOURCE
